 TIMESTAMP 	 VALUE0 	 VALUE1 	 VALUE2 	 VALUE_MEAN 
2.863	118.6145	18.3308	4.7887	120.11806478036516
2.865	118.6145	18.3308	4.7887	120.11806478036516
2.866	118.4285	18.3684	4.8089	119.94095734993947
2.873	118.4285	18.3684	4.8089	119.94095734993947
2.882	118.357	18.3753	4.7814	119.87031694731603
2.903	118.0626	18.4044	4.6284	119.5780980977704
2.912	117.8739	18.4333	4.5442	119.3930173994275
2.923	117.7152	18.4228	4.4467	119.23104047088576
2.933	117.6194	18.3937	4.3554	119.12859004122393
2.943	117.5228	18.341	4.2919	119.0227759987558
2.962	117.3761	18.2603	4.2383	118.86357976348349
2.972	117.3761	18.2603	4.2383	118.86357976348349
2.983	117.3146	18.2649	4.2544	118.80413235460288
2.992	117.2236	18.3086	4.2835	118.72205188241146
3.002	117.1058	18.3877	4.3421	118.62010680040716
3.013	116.9532	18.4904	4.4087	118.48790030247814
3.023	116.7864	18.6198	4.4707	118.34588009512626
3.034	116.5847	18.7864	4.5184	118.17502713183526
3.042	116.4039	18.9562	4.553	118.02514673852347
3.053	116.2282	19.1146	4.5263	117.87641748920774
3.07	115.9668	19.3325	4.422	117.65032232208291
3.075	115.9668	19.3325	4.422	117.65032232208291
3.089	115.9022	19.368	4.3766	117.59079052544888
3.093	115.9022	19.368	4.3766	117.59079052544888
3.109	115.8523	19.377	4.3361	117.54158969275514
3.113	115.8523	19.377	4.3361	117.54158969275514
3.122	115.8303	19.3412	4.3827	117.51573713686179
3.139	115.7348	19.2511	4.3698	117.40631982261432
3.142	115.7348	19.2511	4.3698	117.40631982261432
3.152	115.6624	19.1832	4.3326	117.32245036121604
3.163	115.6272	19.0882	4.3042	117.27120233339471
3.172	115.6272	19.0882	4.3042	117.27120233339471
3.183	115.6106	18.8721	4.3266	117.22067419329238
3.192	115.6069	18.752	4.3737	117.1994969413265
3.205	115.5906	18.6315	4.4606	117.16747224793235
3.213	115.5906	18.6315	4.4606	117.16747224793235
3.222	115.5359	18.5286	4.545	117.10042797432467
3.232	115.4676	18.4389	4.647	117.02287935258644
3.242	115.3863	18.3855	4.7385	116.93792464461647
3.252	115.2586	18.3376	4.8065	116.80716968564045
3.263	115.1328	18.2996	4.8687	116.67965219218816
3.277	115.0168	18.2424	4.9031	116.55766739948943
3.283	114.8872	18.1571	4.9122	116.41683174305166
3.301	114.8872	18.1571	4.9122	116.41683174305166
3.303	114.7987	18.0508	4.9403	116.31414130027353
3.312	114.7006	17.8996	4.9821	116.19571696465408
3.332	114.5901	17.5744	5.092	116.04171240278214
3.353	114.545	17.2827	5.1618	115.95642683150426
3.363	114.499	17.1782	5.1813	115.89632188266373
3.384	114.3926	16.9959	5.2158	115.76585041025699
3.392	114.3551	16.9038	5.2564	115.71714259957338
3.402	114.3287	16.7792	5.2915	115.67451391114639
3.412	114.3353	16.6211	5.3244	115.65972084809819
3.422	114.3711	16.4232	5.3446	115.66777754677402
3.432	114.4225	16.2216	5.3411	115.6900002680439
3.453	114.5599	15.8816	5.311	115.7773839209109
3.463	114.5599	15.8816	5.311	115.7773839209109
3.472	114.6453	15.7485	5.3776	115.84678953730226
3.482	114.6554	15.7117	5.4713	115.85617544930439
3.492	114.6554	15.7117	5.4713	115.85617544930439
3.503	114.6568	15.6529	5.5504	115.85336423604625
3.512	114.6901	15.5509	5.6327	115.87655862213893
3.522	114.7529	15.4318	5.6737	115.9248005447497
3.533	114.8441	15.2861	5.6791	115.99605310022406
3.542	114.9343	15.1537	5.6621	116.067167263572
3.552	115.0527	15.0456	5.646	116.16957937708995
3.563	115.1427	14.9641	5.6653	116.24913451802556
3.573	115.2415	14.8814	5.7273	116.33942304094515
3.583	115.2969	14.8008	5.7836	116.38680706682351
3.592	115.2969	14.8008	5.7836	116.38680706682351
3.606	115.327	14.7152	5.8266	116.4079177186844
3.613	115.327	14.7152	5.8266	116.4079177186844
3.622	115.4562	14.3883	5.8108	116.49430325973026
3.632	115.4562	14.3883	5.8108	116.49430325973026
3.642	115.4562	14.3883	5.8108	116.49430325973026
3.655	115.5358	14.204	5.6868	116.54447387963103
3.664	115.5417	14.122	5.6016	116.53623147094642
3.672	115.5417	14.122	5.6016	116.53623147094642
3.683	115.5101	14.0675	5.5093	116.49390604126036
3.692	115.4881	14.0214	5.4539	116.46392542233839
3.703	115.4514	13.9885	5.4162	116.42181546707646
3.713	115.4204	13.958	5.4051	116.38689619613541
3.722	115.3907	13.9372	5.3879	116.35415186721958
3.733	115.4284	13.8856	5.3141	116.38197915798648
3.742	115.4732	13.8462	5.2607	116.41929452272936
3.753	115.4732	13.8462	5.2607	116.41929452272936
3.763	115.557	13.7892	5.2083	116.49329883958991
3.773	115.6719	13.7397	5.1951	116.60084420667802
3.784	115.7891	13.6866	5.198	116.711001633822
3.793	115.7891	13.6866	5.198	116.711001633822
3.803	116.0366	13.5948	5.2504	116.94818436709483
3.812	116.1405	13.5644	5.265	117.04840414379856
3.823	116.249	13.5497	5.2839	117.15521315886886
3.833	116.352	13.5327	5.2765	117.25512067939721
3.843	116.4564	13.5255	5.2631	117.35728555492412
3.853	116.5599	13.5085	5.2556	117.4576995842333
3.865	116.5599	13.5085	5.2556	117.4576995842333
3.873	116.6877	13.4868	5.2668	117.58253394007973
3.882	116.8304	13.4986	5.3133	117.72759117135625
3.892	116.9744	13.4968	5.3818	117.87339664589292
3.903	117.12	13.5045	5.4445	118.0216442035104
3.912	117.2414	13.517	5.4885	118.14558305417093
3.923	117.3689	13.5549	5.5313	118.2784396283194
3.933	117.4945	13.5966	5.5581	118.40911087167237
3.942	117.6308	13.6559	5.6161	118.55390880380114
3.953	117.7745	13.7267	5.695	118.70841658509308
3.962	117.7745	13.7267	5.695	118.70841658509308
3.973	117.8964	13.7985	5.7714	118.84135977499584
